audio_filename,1-X_any,2-X_any,3-X_any,4-X_any,5-X_any,6-X_any,7-X_any,1_person,2_bicycle,3_car,4_motorcycle,5_siren,6_bus,7_truck
/media/magalhaes/ESC-50/audio/1-155858-C-25.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9933944940567017,0.005438626278191805,0.005230739712715149,0.0007403056952171028,0.006625357549637556,0.0018038514535874128,0.001010910957120359
/media/magalhaes/ESC-50/audio/1-155858-D-25.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9677786231040955,0.012205607257783413,0.028781244531273842,0.0013308643829077482,0.009764368645846844,0.004206897225230932,0.001729136100038886
/media/magalhaes/ESC-50/audio/1-155858-E-25.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9928985238075256,0.005934395827353001,0.00566908810287714,0.0007874849252402782,0.0070524513721466064,0.0019630808383226395,0.0010766875930130482
/media/magalhaes/ESC-50/audio/1-18527-B-44.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06119735538959503,0.030066341161727905,0.9291207194328308,0.0574314147233963,0.01292759645730257,0.03866729885339737,0.029513878747820854
/media/magalhaes/ESC-50/audio/1-187207-A-20.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9924097061157227,0.006403882056474686,0.006115626078099012,0.0008264642674475908,0.007390687242150307,0.002112101763486862,0.0011307286331430078
/media/magalhaes/ESC-50/audio/1-19026-A-43.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20519250631332397,0.028257209807634354,0.7625032663345337,0.013302169740200043,0.015902390703558922,0.023732483386993408,0.01030034851282835
/media/magalhaes/ESC-50/audio/1-211527-A-20.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9892879724502563,0.008347071707248688,0.009006977081298828,0.0009773267665877938,0.008449587970972061,0.0027429251931607723,0.0013282293220981956
/media/magalhaes/ESC-50/audio/1-211527-B-20.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833070278167725,0.03197786584496498,0.38680440187454224,0.004155401606112719,0.015888066962361336,0.014341754838824272,0.004547028802335262
/media/magalhaes/ESC-50/audio/1-211527-C-20.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.990805983543396,0.007820626720786095,0.007587796542793512,0.0009425791213288903,0.008365863934159279,0.0025635366328060627,0.0012902294984087348
/media/magalhaes/ESC-50/audio/1-22694-A-20.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9917075037956238,0.006964576430618763,0.006773676257580519,0.0008662482141517103,0.007694181986153126,0.002288986463099718,0.0011843980755656958
/media/magalhaes/ESC-50/audio/1-24076-A-43.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05630465969443321,0.040707916021347046,0.933073103427887,0.04833173006772995,0.01646997779607773,0.05045424774289131,0.029363129287958145
/media/magalhaes/ESC-50/audio/1-28808-A-43.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08437025547027588,0.06871089339256287,0.9037001132965088,0.03547077998518944,0.02487686090171337,0.05978165939450264,0.025585537776350975
/media/magalhaes/ESC-50/audio/1-30043-A-26.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987688422203064,0.010478975251317024,0.010461762547492981,0.0011586877517402172,0.01013820432126522,0.0034168653655797243,0.0015853155637159944
